"ID","Category","Name","Status","Total","NonCompliant","C","D","R","E_i","E_norm","Effort","Objects","Remediation"
"6.1.1.1","management-and-governance-services","Ensure that a 'Diagnostic Setting' exists for Subscription Activity Logs ","COMPLIANT","1","0","2","0","1","1,1","0,2","BASSO","","az monitor diagnostic-settings subscription create --subscription <subscription id> --name <diagnostic settings name> --location <location> <[- -event-hub <event hub ID> --event-hub-auth-rule <event hub auth rule ID>] [-- storage-account <storage account ID>] [--workspace <log analytics workspace ID>] --logs ""<JSON encoded categories>"" (e.g. [{category:Security,enabled:true},{category:Administrative,enabled:true},{cat egory:Alert,enabled:true},{category:Policy,enabled:true}])"
"6.1.1.2","management-and-governance-services","Ensure Diagnostic Setting captures appropriate categories ","COMPLIANT","1","0","1","0","1","0,7","0","BASSO","","az monitor diagnostic-settings subscription create --subscription <subscription id> --name <diagnostic settings name> --location <location> <[- -event-hub <event hub ID> --event-hub-auth-rule <event hub auth rule ID>] [-- storage-account <storage account ID>] [--workspace <log analytics workspace ID>] --logs ""[{category:Security,enabled:true},{category:Administrative,enabled:true},{ca tegory:Alert,enabled:true},{category:Policy,enabled:true}]"""
"6.1.1.4","management-and-governance-services","Ensure that logging for Azure Key Vault is 'Enabled'","COMPLIANT","0","0","1","0","1","0,7","0","BASSO","","az monitor diagnostic-settings update --name ""<diagnostic_setting_name>"" -- resource <key_vault_id>"
"6.1.2.1","management-and-governance-services","Ensure that Activity Log Alert exists for Create Policy Assignment","COMPLIANT","1","0","1","0","1","0,7","0","BASSO","","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition �category=Administrative and operationName=Microsoft.Authorization/policyAssignments/write� --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription ID> --action-group <action group ID>"
"6.1.2.2","management-and-governance-services","Ensure that Activity Log Alert exists for Delete Policy Assignment","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","Operazione 'Microsoft.Authorization/policyAssignments/delete' - alert mancante","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Authorization/policyAssignments/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>"
"6.1.2.3","management-and-governance-services","Ensure that Activity Log Alert exists for Create or Update Network Security Group","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","Operazione 'Microsoft.Network/networkSecurityGroups/write' - alert mancante","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Network/networkSecurityGroups/write and level=verbose --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" --subscription <subscription id> --action-group <action group ID>"
"6.1.2.4","management-and-governance-services","Ensure that Activity Log Alert exists for Delete Network Security Group","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","Operazione 'Microsoft.Network/networkSecurityGroups/delete' - alert mancante","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Network/networkSecurityGroups/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>"
"6.1.2.5","management-and-governance-services","Ensure that Activity Log Alert exists for Create or Update Security Solution ","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","Operazione 'Microsoft.Security/securitySolutions/write' - alert mancante","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Security/securitySolutions/write and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>"
"6.1.2.6","management-and-governance-services","Ensure that Activity Log Alert exists for Delete Security Solution","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","Operazione 'Microsoft.Security/securitySolutions/delete' - alert mancante","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Security/securitySolutions/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>"
"6.1.2.7","management-and-governance-services","Ensure that Activity Log Alert exists for Create or Update SQL Server Firewall Rule","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","Operazione 'Microsoft.Sql/servers/write' - alert mancante",""
"6.1.2.8","management-and-governance-services","Ensure that Activity Log Alert exists for Delete SQL Server Firewall Rule","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","Operazione 'Microsoft.Sql/servers/delete' - alert mancante","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Sql/servers/firewallRules/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>"
"6.1.2.9","management-and-governance-services","Ensure that Activity Log Alert exists for Create or Update Public IP Address rule","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","Operazione 'Microsoft.Network/publicIPAddresses/write' - alert mancante","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Network/publicIPAddresses/write and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>"
"6.1.2.10","management-and-governance-services","Ensure that Activity Log Alert exists for Delete Public IP Address rule","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","Operazione 'Microsoft.Network/publicIPAddresses/delete' - alert mancante","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Network/publicIPAddresses/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>"
"6.1.2.11","management-and-governance-services","Ensure that an Activity Log Alert exists for Service Health ","NON-COMPLIANT","1","1","2","0","1","1,1","0,2","BASSO","Subscription 3507dd50-31cb-4215-92de-011081f724ec - Service Health alert mancante","az monitor activity-log alert create --subscription <subscription-id> -- resource-group <resource-group> --name <alert-rule> --condition category=ServiceHealth and properties.incidentType=Incident --scope /subscriptions/<subscription-id> --action-group <action-group>"
"6.1.3.1","management-and-governance-services","Ensure Application Insights are Configured","COMPLIANT","1","0","2","0","2","1,4","0,35","MEDIO","","az monitor app-insights component create --app <app name> --resource-group <resource group name> --location <location> --kind ""web"" --retention-time <INT days to retain logs> --workspace <log analytics workspace ID> -- subscription <subscription ID>"
"7.1","networking-services","Ensure that RDP access from the Internet is evaluated and restricted","NON-COMPLIANT","2","1","2","1","2","1,7","0,5","MEDIO","ws22-free-01-nsg/RDP (porta 3389 da Internet)","az network nsg rule delete --resource-group <resource-group> --nsg-name <network-security-group> --name <rule>"
"7.2","networking-services","Ensure that SSH access from the Internet is evaluated and restricted","NON-COMPLIANT","2","1","2","1","2","1,7","0,5","MEDIO","ubuntu-free-01-nsg/SSH (porta 22 da Internet)","az network nsg rule delete --resource-group <resource-group> --nsg-name <network-security-group> --name <rule>"
"7.3","networking-services","Ensure that UDP access from the Internet is evaluated and restricted","COMPLIANT","2","0","2","0","2","1,4","0,35","MEDIO","","az network nsg rule delete --resource-group <resource-group> --nsg-name <network-security-group> --name <rule>"
"7.4","networking-services","Ensure that HTTP(S) access from the Internet is evaluated and restricted","COMPLIANT","2","0","2","0","2","1,4","0,35","MEDIO","","az network nsg rule delete --resource-group <resource-group> --nsg-name <network-security-group> --name <rule>"
"7.6","networking-services","Ensure that Network Watcher is 'Enabled' for Azure Regions that are in use","NON-COMPLIANT","2","1","2","0","2","1,4","0,35","MEDIO","Regione global","az network watcher configure --locations <region> --enabled true --resourcegroup <resource_group>"
"7.10","networking-services","Ensure Azure Web Application Firewall (WAF) is enabled on Azure Application Gateway","N/A","0","0","2","1","2","1,7","0,5","MEDIO","","-"
"7.11","networking-services","Ensure subnets are associated with network security groups","NON-COMPLIANT","3","3","2","0","2","1,4","0,35","MEDIO","ubuntu-free-01-vnet/default | vnet-switzerlandnorth/snet-switzerlandnorth-1 | ws22-free-01-vnet/default","az network vnet subnet update --resource-group <resource-group> --vnet-name <virtual-network> --name <subnet> --network-security-group <network-securitygroup>"
"7.12","networking-services","Ensure the SSL policy's 'Min protocol version' is set to 'TLSv1_2' or higher on Azure Application Gateway","N/A","0","0","1","0","1","0,7","0","BASSO","","az network application-gateway ssl-policy list-options  // az network application-gateway ssl-policy predefined list // az network application-gateway ssl-policy set --resource-group <resourcegroup> --gateway-name <application-gateway> --name <ssl-policy> --policy-type Predefined"
"7.13","networking-services","Ensure 'HTTP2' is set to 'Enabled' on Azure Application Gateway","N/A","0","0","1","0","1","0,7","0","BASSO","","az network application-gateway update --resource-group <resource-group> -- name <application-gateway> --http2 Enabled"
"7.14","networking-services","Ensure request body inspection is enabled in Azure Web Application Firewall policy on Azure Application Gateway","N/A","0","0","1","0","1","0,7","0","BASSO","","az network application-gateway waf-policy update --ids <firewall-policy> -- policy-settings request-body-check=true"
"7.15","networking-services","Ensure bot protection is enabled in Azure Web Application Firewall policy on Azure Application Gateway","COMPLIANT","0","0","1","0","1","0,7","0","BASSO","","az network application-gateway waf-policy managed-rule rule-set add -- resource-group <resource-group> --policy-name <firewall-policy> --type Microsoft_BotManagerRuleSet --version <0.1|1.0|1.1>"
"8.1.1.1","security-services","Ensure Microsoft Defender CSPM is set to 'On'","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","CloudPosture  -  pricingTier=Free","az security pricing create --name CloudPosture --tier Standard --extensions name=ApiPosture isEnabled=true"
"8.1.2.1","security-services","Ensure Microsoft Defender for APIs is set to 'On'","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","Api  -  pricingTier=Free","az security pricing create --name Api --tier Standard --subplan <subplan>"
"8.1.3.1","security-services","Ensure that Defender for Servers is set to 'On' ","NON-COMPLIANT","1","1","2","0","1","1,1","0,2","BASSO","VirtualMachines  -  pricingTier=Free","az security pricing create -n VirtualMachines --tier 'standard'"
"8.1.4.1","security-services","Ensure That Microsoft Defender for Containers Is Set To 'On'","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","Containers  -  pricingTier=Free","az security pricing create -n 'Containers' --tier 'standard' --extensions name=ContainerRegistriesVulnerabilityAssessments isEnabled=True --extensions name=AgentlessDiscoveryForKubernetes isEnabled=True --extensions name=AgentlessVmScanning isEnabled=True --extensions name=ContainerSensor isEnabled=True"
"8.1.5.1","security-services","Ensure That Microsoft Defender for Storage Is Set To 'On'","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","StorageAccounts  -  pricingTier=Free","az security pricing create -n StorageAccounts --tier 'standard'"
"8.1.6.1","security-services","Ensure That Microsoft Defender for App Services Is Set To 'On'","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","AppServices  -  pricingTier=Free","az security pricing create -n Appservices --tier 'standard'"
"8.1.7.1","security-services","Ensure That Microsoft Defender for Azure Cosmos DB Is Set To 'On'","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","CosmosDbs  -  pricingTier=Free","az security pricing create -n 'CosmosDbs' --tier 'standard'"
"8.1.7.2","security-services","Ensure That Microsoft Defender for Open-Source Relational Databases Is Set To 'On'","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","OpenSourceRelationalDatabases  -  pricingTier=Free","az security pricing create -n 'OpenSourceRelationalDatabases' --tier 'standard'"
"8.1.7.3","security-services","Ensure That Microsoft Defender for (Managed Instance) Azure SQL Databases Is Set To 'On'","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","SqlServerVirtualMachines  -  pricingTier=Free","az security pricing create -n SqlServers --tier 'standard'"
"8.1.7.4","security-services","Ensure That Microsoft Defender for SQL Servers on Machines Is Set To 'On'","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","SqlServers  -  pricingTier=Free","az security pricing create -n SqlServerVirtualMachines --tier 'standard'"
"8.1.8.1","security-services","Ensure That Microsoft Defender for Key Vault Is Set To 'On'","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","KeyVaults  -  pricingTier=Free","az security pricing create -n 'KeyVaults' --tier 'Standard'"
"8.1.9.1","security-services","Ensure That Microsoft Defender for Resource Manager Is Set To 'On'","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","Arm  -  pricingTier=Free","az security pricing create -n 'Arm' --tier 'Standard'"
"8.5","security-services","Ensure Azure DDoS Network Protection is enabled on virtual networks","NON-COMPLIANT","3","3","2","0","2","1,4","0,35","MEDIO"," (valore: ) |  (valore: ) |  (valore: )","az network vnet update --resource-group <resource-group> --name <virtualnetwork> --ddos-protection true --ddos-protection-plan <ddos-protection-plan>"
"20.1","virtual-machines","Ensure Virtual Machines are utilizing Managed Disks ","COMPLIANT","2","0","2","2","3","2,3","0,8","ALTO","","Stop-AzVM -ResourceGroupName $rgName -Name $vmName -Force ConvertTo-AzVMManagedDisk -ResourceGroupName $rgName -VMName $vmName Start-AzVM -ResourceGroupName $rgName -Name $vmName"
"20.2","virtual-machines","Ensure that 'OS and Data' disks are encrypted with Customer Managed Key (CMK)","NON-COMPLIANT","2","2","2","1","2","1,7","0,5","MEDIO","ubuntu-free-01 (osEnc=EncryptionAtRestWithPlatformKey, dataDisks=True) | ws22-free-01 (osEnc=EncryptionAtRestWithPlatformKey, dataDisks=True)","$KVRGname = 'MyKeyVaultResourceGroup'; $VMRGName = 'MyVirtualMachineResourceGroup'; $vmName = 'MySecureVM'; $KeyVaultName = 'MySecureVault'; $KeyVault = Get-AzKeyVault -VaultName $KeyVaultName -ResourceGroupName $KVRGname; $diskEncryptionKeyVaultUrl = $KeyVault.VaultUri; $KeyVaultResourceId = $KeyVault.ResourceId; Set-AzVMDiskEncryptionExtension -ResourceGroupName $VMRGname -VMName $vmName -DiskEncryptionKeyVaultUrl $diskEncryptionKeyVaultUrl - DiskEncryptionKeyVaultId $KeyVaultResourceId;"
"20.3","virtual-machines","Ensure that 'Unattached disks' are encrypted with 'Customer Managed Key' (CMK)","N/A","0","0","2","0","2","1,4","0,35","MEDIO","","# 1. Recupera tutti i dischi non collegati $unattachedDisks = Get-AzDisk | Where-Object { $_.ManagedBy -eq $null }  # 2. Eliminali tutti (chiedendo conferma per sicurezza) $unattachedDisks | Remove-AzDisk -Force"
"20.4","virtual-machines","Ensure that 'Disk Network Access' is NOT set to 'Enable public access from all networks' ","NON-COMPLIANT","1","1","1","0","1","0,7","0","BASSO","ubuntu-free-01_disk1_364c9b77fb2e4f8ca9729642bedd968c ws22-free-01_OsDisk_1_461c3b8390b14532a2746a5fb4b185c5 in Thesis Thesis","az disk update --name <managed disk name> --resource-group <resource group name> --network-access-policy AllowPrivate --disk-access <disk access ID>"
"20.10","virtual-machines","Ensure Trusted Launch is enabled on Virtual Machines  ","NON-COMPLIANT","2","2","3","2","3","2,7","1","ALTO"," (valore: ) |  (valore: )","az vm deallocate --resource-group <resource-group> --name <vm> // az vm update --resource-group <resource-group> --name <vm> --enable-secureboot true --enable-vtpm true --security-type TrustedLaunch // az vm start --resource-group <resource-group> --name <vm>"
"20.11","virtual-machines","Ensure that encryption at host is enabled","NON-COMPLIANT","2","2","2","2","2","2","0,65","MEDIO"," (valore: ) |  (valore: )","az vm deallocate --resource-group <resource-group> --name <vm> // az vm update --resource-group <resource-group> --name <vm> --set securityProfile.encryptionAtHost=true // az vm start --resource-group <resource-group> --name <vm>"
