id,category,name,profile-applicability,description,rationale,impact,audit,remediation,full auto,C,D,R,setting-name,expected-value,operator
3.13,management,"Host must unlock accounts after a specified timeout 
period",Level 1,"Ensuring that user accounts on the ESXi host are automatically unlocked after a 
specified period contributes to a balance between security and operational usability. 
This mechanism reactivates idle accounts promptly while mitigating potential 
unauthorized access risks. It's configured through a specific parameter which, when 
adjusted, defines the duration of the lockout period. The parameter governing this 
behavior is Security.AccountUnlockTime with a recommended setting of 900 seconds. ","This setting reduces the inconvenience for benign users and the overhead on 
administrators, while also slowing down brute force credential stuffing attacks. HINT: Verify that the value for this parameter is set to 900. ","No functional impact noted. The parameter’s configuration ensures a security-usability 
balance, although misconfiguration could either expose the system to unauthorized 
access or disrupt user operations. ",Get-VMHost | Get-AdvancedSetting -Name Security.AccountUnlockTime,"Get-VMHost | Get-AdvancedSetting -Name Security.AccountUnlockTime | Set
AdvancedSetting -Value 900",,1,0,1,Security.AccountUnlockTime,900,eq
3.20,management,Host must enable normal lockdown mode,Level 1,"Implementing normal lockdown mode restricts direct access to ESXi hosts, mandating 
management via vCenter Server to uphold defined roles and access controls, mitigating 
risks associated with unauthorized or insufficiently audited activities. Exception Users 
list serves as an override mechanism, permitting specified users direct access even in 
lockdown mode. This mode offers a balanced approach between security and 
operational flexibility compared to the stricter lockdown mode which, if connectivity to 
vCenter Server is lost, necessitates host rebuilding.","Enabling normal lockdown mode enforces centralized management through vCenter 
Server, ensuring adherence to organizational access controls and auditing policies. This 
measure significantly lowers the risk of unauthorized activities by restricting direct host 
access, promoting a more controlled and auditable operational environment. HINT: Verify that Lockdown Mode is set to Normal.","The activation of lockdown mode may impede direct host access for certain operations 
like backup and troubleshooting. Although temporary deactivation is an option, ensuring 
proper reactivation post-operation is crucial to maintain the intended security posture. ","# To check if Lockdown mode is enabled 
Get-VMHost | Select 
Name,@{N=""Lockdown"",E={$_.Extensiondata.Config.adminDisabled}}","# Enable lockdown mode for each host 
Get-VMHost | Foreach { $_.EnterLockdownMode() } ",,2,1,2,,adminDisabled=True,custom
3.21,management,Host should enable strict lockdown mode,Level 2,"Enabling lockdown mode disables direct local access to an ESXi host, requiring the host 
be managed remotely from vCenter Server. 
There are some operations, such as backup and troubleshooting, that require direct 
access to the host. In these cases, lockdown mode can be disabled on a temporary 
basis for specific hosts as needed, and then re-enabled when the task is completed. 
Note: Lockdown mode does not apply to users who log in using authorized keys. Also, 
users in the DCUI.Access list for each host are allowed to override lockdown mode and 
log in to the DCUI. By default, the ""root"" user is the only user listed in the DCUI.Access 
list.","Lockdown mode limits ESXi host access to the vCenter server to ensure the roles and 
access controls implemented in vCenter are always enforced and users cannot bypass 
them by logging into a host directly. By forcing all interaction to occur through vCenter 
Server, the risk of someone inadvertently attaining elevated privileges or performing 
tasks that are not properly audited is greatly reduced. Additionally strict lockdown move 
will disabled DCUI - Disabling DCUI prevents all local activity, and thus forces actions to 
be performed in vCenter Server, where they can be centrally audited and monitored. HINT: Verify that Lockdown Mode is set to Strict. ","With lockdown mode enabled the host will only be accessible through vCenter 
preventing 'local' access. Disabling the DCUI can create a potential ""lockout"" situation, 
should the host become isolated from vCenter Server. Recovering from a ""lockout"" 
scenario requires reinstalling ESXi. Consider leaving DCUI enabled, and instead enable 
lockdown mode and limit the users allowed to access the DCUI using the DCUI.Access 
list.","# To check if Lockdown mode is enabled 
Get-VMHost | Select 
Name,@{N=""Lockdown"",E={$_.Extensiondata.Config.adminDisabled}}","# Enable lockdown mode for each host 
Get-VMHost | Foreach { $_.EnterLockdownMode() }",,3,2,3,,LockdownMode=lockdownStrict,custom
4.2,logging,Host must transmit system logs to a remote log collector ,Level 1,"Transmitting system logs to a remote log collector ensures that ESXi logs are stored in 
a secure and centralized manner. This centralization not only allows for the streamlined 
monitoring of all hosts through a single tool but also facilitates aggregate analysis and 
searching capabilities.","Centralizing log storage on a remote log collector greatly enhances the ability to 
monitor, search, and analyze logs across multiple hosts. This central repository ensures 
that logs are protected from potential tampering, while also providing a robust long-term 
audit trail. By analyzing these logs, coordinated attacks or anomalies that might go 
unnoticed on individual hosts can be detected. HINT: Verify the Syslog.global.logHost is set to the hostname of the central log 
server.","There is no immediate functional impact when transmitting logs to a remote log 
collector. However, it is essential to ensure that the remote log collector is adequately 
secured and has sufficient storage capacity.","# List Syslog.global.logHost for each host 
Get-VMHost | Select Name, @{N=""Syslog.global.logHost"",E={$_ | Get
AdvancedSetting Syslog.global.logHost}}","# Set Syslog.global.logHost for each host 
Get-VMHost | Foreach { Set-AdvancedSetting -VMHost $_ -Name 
Syslog.global.logHost -Value ""<NewLocation>"" } ",,2,0,1,Syslog.global.logHost,,notempty
5.6,network,"Host should reject forged transmits on standard virtual 
switches and port groups",Level 1,"Setting the ""Forged transmits"" option to ""Reject"" helps prevent MAC impersonation by 
comparing the source MAC address from the guest operating system with the effective 
MAC address of its virtual machine adapter. If there's a mismatch, the packet is 
dropped, preventing potential malicious activities through impersonated MAC 
addresses.","Rejecting forged transmits enhances network security by preventing unauthorized 
network access and malicious activities stemming from MAC impersonation. This 
setting upholds network integrity by ensuring only authorized communications occur 
within the network. HINT: Verify that Forged transmits is set to Reject in the dropdown.","This setting may affect workloads like clustered applications and network 
devices/functions that rely on MAC address modifications. Creating a separate port 
group for authorized virtual machines that require such behavior is recommended to 
balance operational needs with network security. ","# List all vSwitches and their Security Settings 
Get-VirtualSwitch -Standard | Select VMHost, Name, ` 
 @{N=""MacChanges"",E={if ($_.ExtensionData.Spec.Policy.Security.MacChanges) { 
""Accept"" } Else { ""Reject""} }}, ` 
 @{N=""PromiscuousMode"",E={if 
($_.ExtensionData.Spec.Policy.Security.PromiscuousMode) { ""Accept"" } Else { 
""Reject""} }}, ` 
 @{N=""ForgedTransmits"",E={if 
($_.ExtensionData.Spec.Policy.Security.ForgedTransmits) { ""Accept"" } Else { 
""Reject""} }} ",# esxcli network vswitch standard policy security set -v vSwitch2 -f false,,1,0,1,,ForgedTransmits=Reject,custom
5.7,network,"Host should reject MAC address changes on standard 
virtual switches and port groups",Level 1,"Enforcing MAC address stability on standard virtual switches and port groups prevents 
MAC impersonation by disallowing changes to the MAC address by virtual machines. 
This mitigates the risk of malicious activities initiated by impersonating authorized 
network adapters. ","Preventing MAC address changes hinders unauthorized network access and potential 
malicious acts, contributing to a more secure network environment. This control aids in 
maintaining network integrity by ensuring only authorized network communications 
occur. HINT: Verify that MAC address changes is set to Reject in the dropdown.","Certain workloads and operations reliant on MAC address modifications could be 
affected. Creating a separate port group for authorized virtual machines that require 
MAC address changes is recommended to balance operational and security needs.","# List all vSwitches and their Security Settings 
Get-VirtualSwitch -Standard | Select VMHost, Name, ` 
@{N=""MacChanges"",E={if ($_.ExtensionData.Spec.Policy.Security.MacChanges) { 
""Accept"" } Else { ""Reject""} }}, ` 
@{N=""PromiscuousMode"",E={if 
($_.ExtensionData.Spec.Policy.Security.PromiscuousMode) { ""Accept"" } Else { 
""Reject""} }}, ` 
@{N=""ForgedTransmits"",E={if 
($_.ExtensionData.Spec.Policy.Security.ForgedTransmits) { ""Accept"" } Else { 
""Reject""} }} ",# esxcli network vswitch standard policy security set -v vSwitch2 -m false,,1,0,1,,MacChanges=Reject,custom
5.8,network,"Host should reject promiscuous mode requests on 
standard virtual switches and port groups",Level 1,"Enabling promiscuous mode allows all virtual machines in a port group to read all 
packets transmitted across it, regardless of the intended recipient. Rejecting 
promiscuous mode requests on standard virtual switches and port groups prevents 
unauthorized packet inspection, enhancing network isolation and data privacy. ","Rejecting promiscuous mode requests helps maintain network isolation and data 
privacy by ensuring packets reach only their intended recipients. This control minimizes 
the risk of data interception or unauthorized packet inspection. HINT: Verify that Promiscuous mode is set to Reject in the dropdown. ","Some workloads like DHCP servers or security monitoring may require promiscuous 
mode. In such cases, a separate port group allowing this behavior, with only authorized 
virtual machines connected, is advisable to balance operational needs with security 
controls.","# List all vSwitches and their Security Settings 
Get-VirtualSwitch -Standard | Select VMHost, Name, ` 
@{N=""MacChanges"",E={if ($_.ExtensionData.Spec.Policy.Security.MacChanges) { 
""Accept"" } Else { ""Reject""} }}, ` 
@{N=""PromiscuousMode"",E={if 
($_.ExtensionData.Spec.Policy.Security.PromiscuousMode) { ""Accept"" } Else { 
""Reject""} }}, ` 
@{N=""ForgedTransmits"",E={if 
($_.ExtensionData.Spec.Policy.Security.ForgedTransmits) { ""Accept"" } Else { 
""Reject""} }} ",# esxcli network vswitch standard policy security set -v vSwitch2 -p false,,1,0,1,,PromiscuousMode=Reject,custom
5.9,network,"Host must restrict access to a default or native VLAN on 
standard virtual switches",Level 1,"ESXi does not use the concept of native VLAN, so do not configure port groups to use 
the native VLAN ID. If the default value of 1 for the native VLAN is being used, the ESXi 
Server virtual switch port groups should be configured with any value between 2 and 
4094. Otherwise, ensure that the port group is not configured to use whatever value is 
set for the native VLAN. HINT: For each port group on the vSwitch, verify and record the VLAN IDs used. ","Frames with VLAN specified in the port group will have a tag, but frames without a 
VLAN specified in the port group are not tagged and therefore will end up as belonging 
to the native VLAN of the physical switch. For example, frames on VLAN 1 from a Cisco 
physical switch will be untagged, because this is considered as the native VLAN. 
However, frames from ESXi specified as VLAN 1 will be tagged with a “1”, therefore, 
traffic from ESXi that is destined for the native VLAN will not be correctly routed 
(because it is tagged with a “1” instead of being untagged), and traffic from the physical 
switch coming from the native VLAN will not be visible (because it is not tagged). If the 
ESXi virtual switch port group uses the native VLAN ID, traffic from those VMs will not 
be visible to the native VLAN on the switch, because the switch is expecting untagged 
traffic.",-,"# List all vSwitches, their Portgroups and VLAN IDs 
Get-VirtualPortGroup -Standard | Select virtualSwitch, Name, VlanID ","1. From the vSphere Web Client, select the host. 
2. Click Configure then expand Networking. 
3. Select Virtual switches. 
4. Expand the Standard vSwitch. 
5. View the topology diagram of the switch, which shows the various port groups 
associated with that switch. 
6. For each port group on the vSwitch, verify and record the VLAN IDs used. 
7. If a VLAN ID change is needed, click the name of the port group in the topology 
diagram of the virtual switch. 
8. Click the Edit settings option. 
9. In the Properties section, enter an appropriate name in the Network label field. 
10. In the VLAN ID dropdown select or type a new VLAN. 
11. Click OK. ",,2,1,2,,Nessun port group con VLAN ID=1,custom
5.10,network,"Host must restrict the use of Virtual Guest Tagging 
(VGT) on standard virtual switches",Level 1,"When a port group is set to VLAN 4095 on standard virtual switches, it enables Virtual 
Guest Tagging (VGT), letting all network frames pass to the attached virtual machines 
(VMs) without altering the VLAN tags. This requires VMs to process VLAN information 
themselves via an 802.1Q driver. Only authorized and capable VMs should be allowed 
to use VGT to prevent potential network issues like denial of service or unauthorized 
VLAN traffic interaction. HINT: For each port group on the vSwitch, verify and record the VLAN IDs used.","Restricting VGT use helps maintain network security by ensuring controlled VLAN tag 
management. It mitigates risks associated with denial of service or unauthorized VLAN 
interactions, contributing to a stable network environment. ","Incorrect VGT configuration can lead to denial of service or unauthorized VLAN traffic 
interaction. Restricting VGT may require alternative configurations for VMs needing 
independent VLAN tag management, potentially affecting network operation. ","# List all vSwitches, their Portgroups and VLAN IDs 
Get-VirtualPortGroup -Standard | Select virtualSwitch, Name, VlanID","1. From the vSphere Web Client, select the host. 
2. Click Configure then expand Networking. 
3. Select Virtual switches. 
4. Expand the Standard vSwitch. 
5. View the topology diagram of the switch, which shows the various port groups 
associated with that switch. 
6. For each port group on the vSwitch, verify and record the VLAN IDs used. 
7. If a VLAN ID change is needed, click the name of the port group in the topology 
diagram of the virtual switch. 
8. Click the Edit settings option. 
9. In the Properties section, enter an appropriate name in the Network label field. 
10. In the VLAN ID dropdown select or type a new VLAN. 
11. Click OK.",,2,1,2,,Nessun port group con VLAN ID=4095,custom
6.3.1,features,"Host iSCSI client, if enabled, must employ 
bidirectional/mutual CHAP authentication",Level 1,"Implementing bidirectional CHAP authentication for iSCSI connections elevates security 
by necessitating mutual verification between the initiator (client) and target (server), 
ensuring data integrity during transmission. Configuration involves setting the iSCSI 
storage adapter authentication to ""Use bidirectional CHAP"" and providing the requisite 
credentials. This setup ensures that all communication between the client and server 
remains secure and unaltered, significantly reducing the risk of data interception by 
unauthorized entities. The parameter governing this behavior is set iSCSI storage 
adapter authentication to ""Use bidirectional CHAP"" with a recommended setting of 
Enabled. ","Employing bidirectional CHAP authentication significantly minimizes risks associated 
with data interception or alteration by unauthorized entities during transmissions 
between the initiator and target. This additional layer of security is crucial in maintaining 
data integrity and confidentiality in iSCSI connections. HINT: Under Properties verify that the Authentication method is set to Use 
bidirectional CHAP.","No functional impact is anticipated upon the implementation of this control. However, it's 
imperative to ensure correct configuration to avoid potential communication disruptions 
between the iSCSI client and server.","# List Iscsi Initiator and CHAP Name if defined 
Get-VMHost | Get-VMHostHba | Where {$_.Type -eq ""Iscsi""} | Select VMHost, 
Device, ChapType, @{N=""CHAPName"",E={$_.AuthenticationProperties.ChapName}}","# Set the Chap settings for the Iscsi Adapter 
Get-VMHost | Get-VMHostHba | Where {$_.Type -eq ""Iscsi""} | Set-VMHostHba 
#Use desired parameters here",,2,1,2,,ChapType=Mutual o Required,custom
7.4,virtual-machines,"Virtual machines should deactivate 3D graphics features 
when not required",Level 2,"Due to performance reasons, modern graphic rendering is done within a dedicated 
graphic processing unit (GPU). Virtual machines can use the host-based GPU for such 
operations as well. Such dedicated hardware is typically accessed by using complex 
APIs like OpenGL and DirectX. This hardware-based 3D acceleration should be 
disabled if it is not needed. ","Security flaws within APIs can lead to serious security breaches like memory corruption, 
denial of service, and remote code execution. HINT: Verify it's False",GPU and Virtual Desktops may require this functionality.,Get-VM -Name $VM | Get-AdvancedSetting mks.enable3d,"Get-VM -Name $VM | Get-AdvancedSetting mks.enable3d | Set-AdvancedSetting 
Value FALSE ",,1,0,1,mks.enable3d,FALSE,eq
7.5,virtual-machines,"Virtual machines must be configured to lock when the last 
console connection is closed",Level 1,"Configuring virtual machines to lock upon closing the last console connection enhances 
security by mitigating the risk of unauthorized access via open console sessions. This 
configuration is particularly useful in environments where multiple users have access to 
the console. The parameter governing this behavior is tools.guest.desktop.autolock with 
the recommended setting being TRUE.","Implementing this control provides an additional layer of security by ensuring that open 
console sessions do not remain accessible after the last connection is closed, thus 
reducing the potential for unauthorized access. HINT: verify it's true","No functional impact is associated with this control, it serves as a proactive measure to 
prevent unauthorized access through open console sessions. ",Get-VM -Name $VM | Get-AdvancedSetting tools.guest.desktop.autolock ,"Get-VM -Name $VM | New-AdvancedSetting -Name tools.guest.desktop.autolock 
$True ",,1,0,1,tools.guest.desktop.autolock,True,eq
7.6,virtual-machines,Virtual machines must limit console sharing.,Level 1,"By default, remote console sessions can be connected to by more than one user at a 
time. Permit only one remote console connection to a VM at a time. Other attempts will 
be rejected until the first connection disconnects. ","When multiple sessions are activated, each terminal window gets a notification about 
the new session. If an administrator in the VM logs in using a VMware remote console 
during their session, a non-administrator in the VM can connect to the console and 
observe the administrator's actions. Also, this could result in an administrator losing 
console access to a VM. For example, if a jump box is being used for an open console 
session, and the admin loses a connection to that box, the console session remains 
open. Allowing two console sessions permits debugging via a shared session. For 
highest security, only one remote console session at a time should be allowed. HINT: Verify that RemoteDisplay.maxConnections is set to 1.",-,"# List the VMs and their current settings 
Get-VM | Get-AdvancedSetting -Name ""RemoteDisplay.maxConnections"" | Select 
Entity, Name, Value ","# Add the setting to all VMs 
Get-VM | New-AdvancedSetting -Name ""RemoteDisplay.maxConnections"" -value 1                                        OPPURE # Add the setting to all VMs 
Get-VM | New-AdvancedSetting -Name ""RemoteDisplay.maxConnections"" -value 1 
Force ",,1,0,1,RemoteDisplay.maxConnections,1,eq
7.7,virtual-machines,"Virtual machines must limit PCI/PCIe device passthrough 
functionality",Level 1,"DirectPath I/O features provide virtual machines the ability to directly access system 
hardware, which while advantageous for performance, can impact risk mitigation tools 
like vMotion, DRS, and High Availability. It also opens up a potential attack vector for 
privileged hardware access. It is crucial to ensure that only necessary VMs have this 
privilege and that compensatory measures are taken within the guest OS to enhance 
security. ","Limiting PCI/PCIe device passthrough functionality is essential for minimizing potential 
attack vectors and ensuring that risk mitigation tools function as intended. Moreover, 
audit and documentation of the business need for these VMs are critical for maintaining 
a secure and compliant environment. HINT: verify that the feature is present.","Passthrough devices, like GPUs, may be adversely affected if disconnected. It's 
imperative to audit and document the business rationale for VMs requiring this 
functionality to understand the associated risks and ensure adequate compensatory 
controls are in place. ","# List the VMs and their current settings 
Get-VM | Get-AdvancedSetting -Name ""pciPassthru*.present"" | Select Entity, 
Name, Value 
``","# Add the setting to all VMs 
Get-VM | New-AdvancedSetting -Name ""pciPassthru*.present"" -value """" ",,2,2,2,,Nessun dispositivo pciPassthru presente,custom
