"id","category","name","profile-applicability","description","rationale","impact","audit","remediation","C","D","R","setting-name","expected-value","operator"
"2.3.13","app-service","Ensure public network access is disabled","Level 1","Disable public network access to prevent exposure to the internet and reduce the risk of unauthorized access. Use private endpoints to securely manage access within trusted networks.","Disabling public network access improves security by ensuring that the service is not directly exposed to the public Internet. This has the added benefit of providing more granular control over security settings and configurations for those additional layers of separation. HINT: Ensure that the command returns ""Disabled"".","NOTE: Prior to disabling public network access, it is strongly recommended that, for each function app, either: • complete virtual network integration as described in ""Ensure app is integrated with a virtual network"" OR • set up private endpoints/links as described in ""Ensure private endpoints are used to access App Service apps."" Disabling public network access restricts direct access to the service. This enhances security but will require the configuration of a virtual network and/or private endpoints for any services or users needing access within trusted networks.","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query ""publicNetworkAccess""","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.publicNetworkAccess=Disabled","2","1","2","publicNetworkAccess","Disabled","eq"
"2.3.14","app-service","Ensure function app is integrated with a virtual network","Level 1","Integrate function apps with a virtual network to enable access to resources in or through a non-internet-routable virtual network. This recommendation does not apply to function apps created on the consumption hosting plan, which does not support virtual networking.","Integrate function apps with a virtual network for increased security and control. HINT: Ensure that a virtual network subnet ID is returned.","Additional configuration may be required to ensure that traffic is routed properly.","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query ""virtualNetworkSubnetId""","az functionapp vnet-integration add --resource-group <resource-group-name> -- name <function-app-name> --vnet <virtual-network-name> --subnet <subnet-name>","2","1","2","virtualNetworkSubnetId","","notempty"
"2.3.15","app-service","Ensure configuration is routed through the virtual network integration","Level 2","By default, configuration traffic for function apps goes directly over the public route. Container image pulls and content sharing can be routed through the virtual network integration. This recommendation should be applied after integrating a function app with a virtual network.","Route container image pulls and content sharing through a virtual network integration for increased security and control. HINT: Ensure that [true,true] is returned.","Additional configuration may be required to ensure that traffic is routed properly.","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query ""[vnetImagePullEnabled,vnetContentShareEnabled]""","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.vnetImagePullEnabled=true --set properties.vnetContentShareEnabled=true","2","1","2","vnetRouteAllEnabled","true","eq"
"2.3.16","app-service","Ensure all traffic is routed through the virtual network","Level 1","Enable vnetRouteAllEnabled to ensure all outbound traffic is routed through the integrated virtual network. This recommendation should be applied after integrating a function app with a virtual network.","Routing all outbound traffic through the virtual network enhances security. HINT: Ensure that true is returned.","Additional configuration may be required to ensure that traffic is routed properly.","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <app-name> --query vnetRouteAllEnabled","az resource update --resource-group <resource-group-name> --name <functionapp-name> --resource-type ""Microsoft.Web/sites"" --set properties.vnetRouteAllEnabled=true","3","2","3","","Tutto il traffico egress instradato via VNet","custom"
"2.3.17","app-service","Ensure cross-origin resource sharing does not allow all origins","Level 2","Cross-origin resource sharing (CORS) is a security feature that controls how applications interact with resources hosted on different domains.","Restrict CORS to only trusted origins to help enforce proper access control and reduce exposure to malicious cross-origin requests. HINT: Ensure that the response does not include *.","Configuration is required to ensure that the appropriate origins have access. Setting up a proper CORS policy can be fairly complex and an incorrect setting could permit Cross-Site Request Forgery (CSRF). The ""caveat"" is that if the app being deployed is a PUBLIC API, a wildcard ""*"" CORS policy is absolutely necessary","az functionapp list // az functionapp show --resource-group <resource-group-name> --name <functionapp-name> --query siteConfig.cors.allowedOrigins","az functionapp cors remove --resource-group <resource-group-name> --name <function-app-name> --allowed-origins ""*"" // az functionapp cors add --resource-group <resource-group-name> --name <function-app-name> --allowed-origins <allowed-origins>","1","0","1","cors.allowedOrigins","Non contiene *","custom"
"6.1.1.1","management-and-governance-services","Ensure that a 'Diagnostic Setting' exists for Subscription Activity Logs","Level 1","Enable Diagnostic settings for exporting activity logs. Diagnostic settings are available for each individual resource within a subscription. Settings should be configured for all appropriate resources for your environment.","A diagnostic setting controls how a diagnostic log is exported. By default, logs are retained only for 90 days. Diagnostic settings should be defined so that logs can be exported and stored for a longer duration to analyze security activities within an Azure subscription.","-","az monitor diagnostic-settings subscription list --subscription <subscription-id>","az monitor diagnostic-settings subscription create --subscription <subscription id> --name <diagnostic settings name> --location <location> <[- -event-hub <event hub ID> --event-hub-auth-rule <event hub auth rule ID>] [-- storage-account <storage account ID>] [--workspace <log analytics workspace ID>] --logs ""<JSON encoded categories>"" (e.g. [{category:Security,enabled:true},{category:Administrative,enabled:true},{cat egory:Alert,enabled:true},{category:Policy,enabled:true}])","2","0","1","","Almeno 1 Diagnostic Setting attivo","custom"
"6.1.1.2","management-and-governance-services","Ensure Diagnostic Setting captures appropriate categories","Level 1","-","A diagnostic setting controls how the diagnostic log is exported. Capturing the diagnostic setting categories for appropriate control/management plane activities allows proper alerting.  HINT: Ensure the categories 'Administrative', 'Alert', 'Policy', and 'Security' set to: 'enabled: true'","-","az monitor diagnostic-settings subscription list --subscription <subscription ID>","az monitor diagnostic-settings subscription create --subscription <subscription id> --name <diagnostic settings name> --location <location> <[- -event-hub <event hub ID> --event-hub-auth-rule <event hub auth rule ID>] [-- storage-account <storage account ID>] [--workspace <log analytics workspace ID>] --logs ""[{category:Security,enabled:true},{category:Administrative,enabled:true},{ca tegory:Alert,enabled:true},{category:Policy,enabled:true}]""","1","0","1","logs[*].category","Administrative;Security;Alert;Policy","custom"
"6.1.1.4","management-and-governance-services","Ensure that logging for Azure Key Vault is 'Enabled'","Level 1","Enable AuditEvent logging for key vault instances to ensure interactions with key vaults are logged and available.","Monitoring how and when key vaults are accessed, and by whom, enables an audit trail of interactions with confidential information, keys, and certificates managed by Azure Key Vault. Enabling logging for Key Vault saves information in a user provided destination of either an Azure storage account or Log Analytics workspace. The same destination can be used for collecting logs for multiple Key Vaults.","-","az keyvault list","az monitor diagnostic-settings update --name ""<diagnostic_setting_name>"" -- resource <key_vault_id>","1","0","1","logs[0].enabled","true","custom"
"6.1.2.1","management-and-governance-services","Ensure that Activity Log Alert exists for Create Policy Assignment","Level 1","Create an activity log alert for the Create Policy Assignment event.","Monitoring for create policy assignment events gives insight into changes done in ""Azure policy - assignments"" and can reduce the time it takes to detect unsolicited changes.  HINT: Look for Microsoft.Authorization/policyAssignments/write in the output. If it's missing, generate a finding. If the output is empty, an alert rule for Create Policy Assignments is not configured.","-","az monitor activity-log alert list --subscription <subscription ID> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition “category=Administrative and operationName=Microsoft.Authorization/policyAssignments/write” --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription ID> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Authorization/policyAssignments/write","eq"
"6.1.2.2","management-and-governance-services","Ensure that Activity Log Alert exists for Delete Policy Assignment","Level 1","Create an activity log alert for the Delete Policy Assignment event.","Monitoring for delete policy assignment events gives insight into changes done in ""azure policy - assignments"" and can reduce the time it takes to detect unsolicited changes. HINT: Look for Microsoft.Authorization/policyAssignments/delete in the output","-","az monitor activity-log alert list --subscription <subscription ID> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Authorization/policyAssignments/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Authorization/policyAssignments/delete","eq"
"6.1.2.3","management-and-governance-services","Ensure that Activity Log Alert exists for Create or Update Network Security Group","Level 1","Create an Activity Log Alert for the Create or Update Network Security Group event.","Monitoring for Create or Update Network Security Group events gives insight into network access changes and may reduce the time it takes to detect suspicious activity. Look for Microsoft.Network/networkSecurityGroups/write in the output","-","az monitor activity-log alert list --subscription <subscription ID> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Network/networkSecurityGroups/write and level=verbose --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" --subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Network/networkSecurityGroups/write","eq"
"6.1.2.4","management-and-governance-services","Ensure that Activity Log Alert exists for Delete Network Security Group","Level 1","Create an activity log alert for the Delete Network Security Group event","Monitoring for ""Delete Network Security Group"" events gives insight into network access changes and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Network/networkSecurityGroups/delete in the output","-","az monitor activity-log alert list --subscription <subscription ID> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Network/networkSecurityGroups/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Network/networkSecurityGroups/delete","eq"
"6.1.2.5","management-and-governance-services","Ensure that Activity Log Alert exists for Create or Update Security Solution","Level 1","Create an activity log alert for the Create or Update Security Solution event","Monitoring for Create or Update Security Solution events gives insight into changes to the active security solutions and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Security/securitySolutions/write in the output","-","az monitor activity-log alert list --subscription <subscription Id> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Security/securitySolutions/write and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Security/securitySolutions/write","eq"
"6.1.2.6","management-and-governance-services","Ensure that Activity Log Alert exists for Delete Security Solution","Level 1","Create an activity log alert for the Delete Security Solution event.","Monitoring for Delete Security Solution events gives insight into changes to the active security solutions and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Security/securitySolutions/delete in the output","-","az monitor activity-log alert list --subscription <subscription Id> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Security/securitySolutions/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Security/securitySolutions/delete","eq"
"6.1.2.7","management-and-governance-services","Ensure that Activity Log Alert exists for Create or Update SQL Server Firewall Rule","Level 1","Create an activity log alert for the Create or Update SQL Server Firewall Rule event.","Monitoring for Create or Update SQL Server Firewall Rule events gives insight into network access changes and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Sql/servers/firewallRules/write in the output","There will be a substantial increase in log size if there are a large number of administrative actions on a server.","az monitor activity-log alert list --subscription <subscription Id> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","","1","0","1","condition.allOf[*].equals","Microsoft.Sql/servers/write","eq"
"6.1.2.8","management-and-governance-services","Ensure that Activity Log Alert exists for Delete SQL Server Firewall Rule","Level 1","Create an activity log alert for the ""Delete SQL Server Firewall Rule.""","Monitoring for Delete SQL Server Firewall Rule events gives insight into SQL network access changes and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Sql/servers/firewallRules/delete in the output","There will be a substantial increase in log size if there are a large number of administrative actions on a server.","az monitor activity-log alert list --subscription <subscription Id> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Sql/servers/firewallRules/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Sql/servers/delete","eq"
"6.1.2.9","management-and-governance-services","Ensure that Activity Log Alert exists for Create or Update Public IP Address rule","Level 1","Create an activity log alert for the Create or Update Public IP Addresses rule.","Monitoring for Create or Update Public IP Address events gives insight into network access changes and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Network/publicIPAddresses/write in the output","There will be a substantial increase in log size if there are a large number of administrative actions on a server.","az monitor activity-log alert list --subscription <subscription Id> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Network/publicIPAddresses/write and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Network/publicIPAddresses/write","eq"
"6.1.2.10","management-and-governance-services","Ensure that Activity Log Alert exists for Delete Public IP Address rule","Level 1","Create an activity log alert for the Delete Public IP Address rule.","Monitoring for Delete Public IP Address events gives insight into network access changes and may reduce the time it takes to detect suspicious activity. HINT: Look for Microsoft.Network/publicIPAddresses/delete in the output","There will be a substantial increase in log size if there are a large number of administrative actions on a server.","az monitor activity-log alert list --subscription <subscription Id> --query ""[].{Name:name,Enabled:enabled,Condition:condition.allOf,Actions:actions}""","az monitor activity-log alert create --resource-group ""<resource group name>"" --condition category=Administrative and operationName=Microsoft.Network/publicIPAddresses/delete and level=<verbose | information | warning | error | critical> --scope ""/subscriptions/<subscription ID>"" --name ""<activity log rule name>"" -- subscription <subscription id> --action-group <action group ID>","1","0","1","condition.allOf[*].equals","Microsoft.Network/publicIPAddresses/delete","eq"
"6.1.2.11","management-and-governance-services","Ensure that an Activity Log Alert exists for Service Health","Level 1","Create an activity log alert for Service Health","Monitoring for Service Health events provides insight into service issues, planned maintenance, security advisories, and other changes that may affect the Azure services and regions in use. HINT: Ensure an alert exists for ServiceHealth with scopes set to a subscription ID.","There is no charge for creating activity log alert rules","az monitor activity-log alert list --subscription <subscription-id> ///     az monitor activity-log alert show --subscription <subscription-id> -- resource-group <resource-group> --activity-log-alert-name <activity-logalert>","az monitor activity-log alert create --subscription <subscription-id> -- resource-group <resource-group> --name <alert-rule> --condition category=ServiceHealth and properties.incidentType=Incident --scope /subscriptions/<subscription-id> --action-group <action-group>","2","0","1","","Service Health alert attivo con notifica email","custom"
"6.1.3.1","management-and-governance-services","Ensure Application Insights are Configured","Level 2","Application Insights within Azure act as an Application Performance Monitoring solution providing valuable data into how well an application performs and additional information when performing incident response. The types of log data collected include application metrics, telemetry data, and application trace logging data providing organizations with detailed information about application activity and application transactions. Both data sets help organizations adopt a proactive and retroactive means to handle security and performance related metrics within their modern applications.","Configuring Application Insights provides additional data not found elsewhere within Azure as part of a much larger logging and monitoring program within an organization's Information Security practice. The types and contents of these logs will act as both a potential cost saving measure (application performance) and a means to potentially confirm the source of a potential incident (trace logging). Metrics and Telemetry data provide organizations with a proactive approach to cost savings by monitoring an application's performance, while the trace logging data provides necessary details in a reactive incident response scenario by helping organizations identify the potential source of an incident within their application. HINT: Ensure the above command produces output, otherwise Application Insights has not been configured.","Because Application Insights relies on a Log Analytics Workspace, an organization will incur additional expenses when using this service.","az monitor app-insights component show --query ""[].{ID:appId, Name:name, Tenant:tenantId, Location:location, Provisioning_State:provisioningState}""","az monitor app-insights component create --app <app name> --resource-group <resource group name> --location <location> --kind ""web"" --retention-time <INT days to retain logs> --workspace <log analytics workspace ID> -- subscription <subscription ID>","2","0","2","","Application Insights collegato all'app","custom"
"7.1","networking-services","Ensure that RDP access from the Internet is evaluated and restricted","Level 1","Network security groups should be periodically evaluated for port misconfigurations. Where RDP is not explicitly required and narrowly configured for resources attached to a network security group, Internet-level access to Azure resources should be restricted or eliminated.","The potential security problem with using RDP over the Internet is that attackers can use various brute force techniques to gain access to Azure Virtual Machines. Once the attackers gain access, they can use a virtual machine as a launch point for compromising other machines on an Azure Virtual Network or even attack networked devices outside of Azure. HINT: Ensure that no network security group has an inbound security rule that matches the following: ""access"" : ""Allow"" ""destinationPortRange"" : ""3389"", ""*"", or ""<range-including-3389>"" ""direction"" : ""Inbound"" ""protocol"" : ""TCP"" or ""*"" ""sourceAddressPrefix"" : ""0.0.0.0/0"", ""Internet"", or ""*""","-","az network nsg list --query [*].[name,securityRules]","az network nsg rule delete --resource-group <resource-group> --nsg-name <network-security-group> --name <rule>","2","1","2","","Nessuna regola allow RDP (3389) da Internet","custom"
"7.2","networking-services","Ensure that SSH access from the Internet is evaluated and restricted","Level 1","Network security groups should be periodically evaluated for port misconfigurations. Where SSH is not explicitly required and narrowly configured for resources attached to a network security group, Internet-level access to Azure resources should be restricted or eliminated.","The potential security problem with using SSH over the Internet is that attackers can use various brute force techniques to gain access to Azure Virtual Machines. Once the attackers gain access, they can use a virtual machine as a launch point for compromising other machines on the Azure Virtual Network or even attack networked devices outside of Azure. HINT: Ensure that no network security group has an inbound security rule that matches the following: ""access"" : ""Allow"" ""destinationPortRange"" : ""22"", ""*"", or ""<range-including-22>"" ""direction"" : ""Inbound"" ""protocol"" : ""TCP"" or ""*"" ""sourceAddressPrefix"" : ""0.0.0.0/0"", ""Internet"", or ""*""","-","az network nsg list --query [*].[name,securityRules]","az network nsg rule delete --resource-group <resource-group> --nsg-name <network-security-group> --name <rule>","2","1","2","","Nessuna regola allow SSH (22) da Internet","custom"
